"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2090","test_search_all_non_existing_products[purple unicorn lamp]","tests","Sun Sep 14 19:59:37 EEST 2025","passed","Sun Sep 14 19:59:39 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
"","1964","test_search_all_existing_products[robot vacuum]","tests","Sun Sep 14 19:59:35 EEST 2025","passed","Sun Sep 14 19:59:37 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
"","1891","test_search_not_existing_product","tests","Sun Sep 14 19:58:58 EEST 2025","passed","Sun Sep 14 19:58:59 EEST 2025","TestHeaderAndSearch","test_homepage","",""
"","343","test_open_homepage_and_header","tests","Sun Sep 14 19:58:55 EEST 2025","passed","Sun Sep 14 19:58:55 EEST 2025","TestHeaderAndSearch","test_homepage","",""
"","1897","test_search_all_non_existing_products[nonexistent gadget]","tests","Sun Sep 14 19:59:41 EEST 2025","passed","Sun Sep 14 19:59:43 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
"","2367","test_search_all_existing_products[wifi camera]","tests","Sun Sep 14 19:59:32 EEST 2025","passed","Sun Sep 14 19:59:35 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
"","2440","test_search_random_product","tests","Sun Sep 14 19:59:23 EEST 2025","passed","Sun Sep 14 19:59:25 EEST 2025","TestRandomSearch","test_homepage","",""
"","15544","test_add_existing_product_to_cart","tests","Sun Sep 14 19:59:03 EEST 2025","passed","Sun Sep 14 19:59:19 EEST 2025","TestCartFlow","test_homepage","",""
"","2180","test_search_existing_product","tests","Sun Sep 14 19:58:55 EEST 2025","passed","Sun Sep 14 19:58:57 EEST 2025","TestHeaderAndSearch","test_homepage","",""
"","2383","test_search_random_existing","tests","Sun Sep 14 19:59:48 EEST 2025","passed","Sun Sep 14 19:59:50 EEST 2025","TestSearchRandomOptional","test_search_parametrized","",""
"","1575","test_search_random_non_existing","tests","Sun Sep 14 19:59:50 EEST 2025","passed","Sun Sep 14 19:59:52 EEST 2025","TestSearchRandomOptional","test_search_parametrized","",""
"","1991","test_search_all_non_existing_products[retro mp3 cassette]","tests","Sun Sep 14 19:59:39 EEST 2025","passed","Sun Sep 14 19:59:41 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
"","2780","test_search_all_existing_products[smart door lock]","tests","Sun Sep 14 19:59:30 EEST 2025","passed","Sun Sep 14 19:59:32 EEST 2025","TestSearchParametrized","test_search_parametrized","",""
